id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
121,O=C(-C-N)-N(-C)-C,7,6,109,10.027599,2,0.82304525,TRUE
122,O=C(-C-N-C-C)-N-C,8,7,110,10.119596,2,0.82304525,TRUE
123,O=C(-C-N-C)-N-C,7,6,111,10.211592,2,0.82304525,TRUE
124,O=C(-C-N(-C-C)-C)-N,8,7,109,10.027599,2,0.82304525,TRUE
125,O=C(-C-N(-C)-C-C)-N,8,7,109,10.027599,2,0.82304525,TRUE
126,O=C(-C-N(-C)-C)-N,7,6,110,10.119596,2,0.82304525,TRUE
127,O=C(-C-N-C-C-C)-N,8,7,110,10.119596,2,0.82304525,TRUE
128,O=C(-C-N-C-C)-N,7,6,112,10.303588,2,0.82304525,TRUE
129,O=C(-C-N-C)-N,6,5,113,10.395584,2,0.82304525,TRUE
130,O=C-C-N(-C-C-C-C=C)-C-C,11,10,109,10.027599,4,1.6460905,TRUE
131,O=C-C-N(-C-C)-C-C-C,9,8,120,11.039558,4,1.6460905,TRUE
132,O=C-C-N(-C-C)-C-C,8,7,121,11.131555,4,1.6460905,TRUE
133,O=C-C-N(-C-C-C-C)-C,9,8,111,10.211592,4,1.6460905,TRUE
134,O=C-C-N(-C-C)-C,7,6,122,11.223551,4,1.6460905,TRUE
135,O=C-C-N(-C)-C,6,5,125,11.49954,4,1.6460905,TRUE
136,O=C-C-N-C-C-C-C=C,9,8,121,11.131555,4,1.6460905,TRUE
137,O=C-C-N-C-C-C-C,8,7,124,11.407544,4,1.6460905,TRUE
138,O=C-C-N-C-C-C=C-C,9,8,114,10.48758,3,1.2345679,TRUE
139,O=C-C-N-C-C-C,7,6,135,12.419503,4,1.6460905,TRUE
140,O=C-C-N-C-C,6,5,137,12.603496,4,1.6460905,TRUE
141,N(-C-C-N(-C)-C)(-C-C)-C-C-C,11,10,109,10.027599,3,1.2345679,TRUE
142,N(-C-C-C-C)(-C-C-N)-C-C,10,9,109,10.027599,4,1.6460905,TRUE
143,N(-C-C-N(-C)-C)(-C-C)-C-C,10,9,112,10.303588,4,1.6460905,TRUE
147,N1(-C-C=C-C-C-1)-C-C,8,8,133,12.235511,3,1.2345679,TRUE
153,N(-C-C-C-C=C)(-C-C)-C-C,10,9,180,16.559338,4,1.6460905,TRUE
155,N(-C-C-C-C)(-C-C-N-C)-C,10,9,111,10.211592,4,1.6460905,TRUE
156,N(-C-C-C-C=C)(-C-C-N)-C,10,9,111,10.211592,2,0.82304525,TRUE
157,N(-C-C-C-C)(-C-C-N)-C,9,8,115,10.5795765,4,1.6460905,TRUE
158,N1(-C-C-C(-C-C-1)-C=C=C=C=C=C)-C,13,13,117,10.76357,3,1.2345679,TRUE
159,N1(-C-C-C(-C-C-1)-C)-C,8,8,118,10.855566,4,1.6460905,TRUE
160,N(-C-C-C)(-C-C-C)-C,8,7,117,10.76357,3,1.2345679,TRUE
165,N1(-C-C=C-C-C-1)-C,7,7,154,14.167434,4,1.6460905,TRUE
172,N(-C)(-C-C=C(-C=C)-C)-C-C,10,9,126,11.5915365,3,1.2345679,TRUE
173,N(-C-C=C-C=C)(-C)-C-C,9,8,146,13.431462,4,1.6460905,TRUE
194,N(-C-C-C(-C)-C)(-C)-C,8,7,124,11.407544,4,1.6460905,TRUE
199,N(-C-C=C(-C)-C=C)(-C)-C,9,8,143,13.155474,4,1.6460905,TRUE
200,N(-C)(-C-C=C-C=C-C)-C,9,8,168,15.455381,4,1.6460905,TRUE
203,N(-C-C=C-C=C=C=C=C=C)(-C)-C,12,11,146,13.431462,4,1.6460905,TRUE
204,N(-C-C=C-C=C=C=C)(-C)-C,10,9,148,13.615456,4,1.6460905,TRUE
205,N(-C-C=C-C=C=C)(-C)-C,9,8,149,13.707452,4,1.6460905,TRUE
216,N(-C(-C-C-C)-C-C)-C-C,9,8,110,10.119596,4,1.6460905,TRUE
217,N(-C(-C-C)-C-C)-C-C,8,7,119,10.947562,4,1.6460905,TRUE
218,N(-C(-C)-C)-C-C-C,7,6,109,10.027599,3,1.2345679,TRUE
219,N(-C-C-C-C)-C-C-C,8,7,133,12.235511,2,0.82304525,TRUE
238,N1-C-C=C-C-C-1,6,6,225,20.699173,4,1.6460905,TRUE
245,N(-C-C)-C-C-C=C-C,8,7,182,16.74333,3,1.2345679,TRUE
249,N(-C-C=C(-C=C)-C)-C-C,9,8,132,12.143515,3,1.2345679,TRUE
250,N(-C-C=C-C=C)-C-C,8,7,204,18.76725,4,1.6460905,TRUE
295,N(-C-C-C(-C-C)-C=C=C=C=C=C)-C,13,12,119,10.947562,3,1.2345679,TRUE
296,N(-C-C-C(-C-C)-C)-C,8,7,147,13.523459,4,1.6460905,TRUE
320,N(-C-C=C(-C)-C=C)-C,8,7,203,18.675253,4,1.6460905,TRUE
344,N(-C=C=C=C=C-C=C=C=N)-C,11,10,109,10.027599,4,1.6460905,TRUE
382,C(-C)-C=C-C-C,6,5,113,10.395584,2,0.82304525,TRUE
